<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSV.V,D,20220516,000000,8.58782,8.87345,7.94666,8.43218,1323.942561083905,0
SSV.V,D,20220517,000000,8.45,9.28691,8.28439,8.57869,1035.7249039014662,0
SSV.V,D,20220518,000000,8.64362,8.77058,7.56415,7.74592,1634.6672020378967,0
SSV.V,D,20220519,000000,7.77011,8.61224,7.51546,7.72904,861.2362154714801,0
SSV.V,D,20220520,000000,7.81396,8.30035,7.72172,7.78165,741.270640561933,0
SSV.V,D,20220521,000000,7.73773,7.89543,7.71903,7.81862,386.691510017826,0
SSV.V,D,20220522,000000,7.81263,8.41829,7.81263,8.41519,299.1355931894902,0
SSV.V,D,20220523,000000,8.41355,8.46927,7.88613,8.25458,637.4171577231898,0
SSV.V,D,20220524,000000,8.20814,8.23293,7.65081,7.80705,405.19312930290994,0
SSV.V,D,20220525,000000,7.80626,8.08319,7.77548,7.87643,667.3544206425687,0
SSV.V,D,20220526,000000,7.89401,8.03245,6.65777,7.48551,2929.5888413014936,0
SSV.V,D,20220527,000000,7.46153,7.46153,6.92667,6.92667,630.6492157487999,0
SSV.V,D,20220528,000000,7.04672,7.12896,6.9125,6.96705,196.8184854860169,0
SSV.V,D,20220529,000000,6.96626,7.21983,6.72034,7.15148,465.8359713346501,0
SSV.V,D,20220530,000000,7.15248,7.5505,6.8931,7.35885,903.4331976762178,0
SSV.V,D,20220531,000000,7.36384,7.79276,7.2492,7.48226,1062.4496888477777,0
SSV.V,D,20220601,000000,7.47926,7.52298,6.71395,6.95673,1111.7104036309297,0
SSV.V,D,20220602,000000,6.87712,7.01968,6.82185,6.97072,998.4971201807655,0
SSV.V,D,20220603,000000,7.07063,7.17362,6.73512,6.73613,1255.4334149562542,0
SSV.V,D,20220604,000000,6.8523,6.8523,6.45754,6.61204,3447.3285810498182,0
SSV.V,D,20220605,000000,6.73526,6.88115,6.58866,6.65574,1083.375830181807,0
SSV.V,D,20220606,000000,6.70889,7.38768,6.69331,7.23592,2891.4832794214713,0
SSV.V,D,20220607,000000,7.22714,7.22721,6.5443,7.08033,4684.136860167568,0
SSV.V,D,20220608,000000,7.11352,7.46444,6.91137,6.9175,3740.308011727903,0
SSV.V,D,20220609,000000,6.98583,7.33302,6.86564,7.19588,3243.6524987504754,0
SSV.V,D,20220610,000000,7.03352,7.05321,6.65907,6.71246,1344.8684950921056,0
SSV.V,D,20220611,000000,6.67056,6.79472,5.98199,5.99915,3391.5752780542557,0
SSV.V,D,20220612,000000,6.00878,6.17155,5.92689,6.14933,1974.4198495267221,0
SSV.V,D,20220613,000000,6.06427,6.06439,4.5931,4.75553,6424.9639612435285,0
SSV.V,D,20220614,000000,4.75495,5.47577,4.37173,5.13803,25315.371921212325,0
SSV.V,D,20220615,000000,5.13828,5.30688,4.31691,4.97862,37967.53524298573,0
SSV.V,D,20220616,000000,5.05353,5.05353,4.60563,4.61932,2291.425803736207,0
SSV.V,D,20220617,000000,4.49383,4.61839,4.36559,4.46987,20918.966779433005,0
SSV.V,D,20220618,000000,4.46528,4.47356,3.64562,3.90726,66665.79350609727,0
SSV.V,D,20220619,000000,3.92038,4.81362,3.92034,4.78865,32233.17437802396,0
SSV.V,D,20220620,000000,4.83529,4.86725,4.60564,4.77916,29706.244264101875,0
SSV.V,D,20220621,000000,4.76785,5.19644,4.70881,5.02277,1139.8526159653718,0
SSV.V,D,20220622,000000,5.03056,5.08111,4.59674,4.70809,2195.4888161656067,0
SSV.V,D,20220623,000000,4.71808,4.9984,4.7176,4.9943,729.1900512919767,0
SSV.V,D,20220624,000000,5.10619,5.10619,4.34575,4.72193,4527.729919887158,0
SSV.V,D,20220625,000000,4.75914,4.76373,4.413,4.5649,3065.380108759475,0
SSV.V,D,20220626,000000,4.58151,4.67594,4.40607,4.66449,1345.621385648019,0
SSV.V,D,20220627,000000,4.64745,4.64745,4.34656,4.42277,975.7585507601497,0
SSV.V,D,20220628,000000,4.44474,4.49389,4.39965,4.43392,1332.3465110357897,0
SSV.V,D,20220629,000000,4.38451,4.3846,4.16355,4.22138,766.2978582714213,0
SSV.V,D,20220630,000000,4.26064,4.26499,3.85309,3.92973,3627.047501489361,0
SSV.V,D,20220701,000000,3.87944,4.1581,3.87944,4.15619,2136.9383964755875,0
SSV.V,D,20220702,000000,4.11876,4.11876,4.00489,4.10926,3372.512184481371,0
SSV.V,D,20220703,000000,4.10127,4.15111,4.05192,4.11375,2184.345642979619,0
SSV.V,D,20220704,000000,4.12893,4.14912,3.9948,4.14912,975.7249303084401,0
SSV.V,D,20220705,000000,4.14912,4.47732,4.14912,4.43901,4103.86724483229,0
SSV.V,D,20220706,000000,4.5403,4.70162,4.48052,4.67665,1574.2277344725885,0
SSV.V,D,20220707,000000,4.73172,5.03136,4.72859,4.997,1586.5865420371101,0
SSV.V,D,20220708,000000,5.05645,5.34326,5.05645,5.34326,570.4965470136199,0
SSV.V,D,20220709,000000,5.37457,5.38577,5.15149,5.27233,1315.5912834771889,0
SSV.V,D,20220710,000000,5.26854,5.26914,5.09694,5.10883,1982.1774628802195,0
SSV.V,D,20220711,000000,5.13552,5.13552,5.0004,5.0004,720.8548192138495,0
SSV.V,D,20220712,000000,4.85832,5.46962,4.66873,4.67452,1424.6820360185097,0
SSV.V,D,20220713,000000,4.67413,5.95354,4.63918,5.67449,1378.22393146625,0
SSV.V,D,20220714,000000,5.62267,5.94694,5.20733,5.73196,3096.531840327708,0
SSV.V,D,20220715,000000,5.91005,8.10913,5.84069,7.60796,4108.1789033037685,0
SSV.V,D,20220716,000000,7.57517,7.89384,6.17986,7.21636,1717.3750363185995,0
SSV.V,D,20220717,000000,7.63567,9.90842,7.19878,7.66523,3098.2292859612376,0
SSV.V,D,20220718,000000,7.66683,8.7438,7.40603,7.88765,2167.668082907715,0
SSV.V,D,20220719,000000,7.88971,8.49924,7.18226,7.86748,3311.3423864593406,0
SSV.V,D,20220720,000000,7.8471,8.45762,7.2375,7.32897,2920.727858700293,0
SSV.V,D,20220721,000000,7.33378,7.61147,6.85569,7.61147,2770.9881108922805,0
SSV.V,D,20220722,000000,7.6117,8.11554,7.51473,7.51473,3229.951136461209,0
SSV.V,D,20220723,000000,7.50453,7.8201,7.27405,7.29339,1047.2732210461495,0
SSV.V,D,20220724,000000,7.2916,7.66772,7.10817,7.30649,1528.6972741907978,0
SSV.V,D,20220725,000000,7.23499,7.26088,6.43817,6.50939,1555.9343903082229,0
SSV.V,D,20220726,000000,6.40087,6.43073,5.83163,5.85012,5041.231705920559,0
SSV.V,D,20220727,000000,5.9868,7.60156,5.98446,7.45561,2256.3676050170593,0
SSV.V,D,20220728,000000,7.55979,9.50009,7.55956,9.0195,4474.733486572714,0
