<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEEK.V,D,20220514,000000,0.190446,0.190905,0.154738,0.177591,4063689.5665449,0
CEEK.V,D,20220515,000000,0.177354,0.197493,0.17139,0.192749,2200715.9238619,0
CEEK.V,D,20220516,000000,0.19238,0.206932,0.177998,0.190762,2973671.9019043,0
CEEK.V,D,20220517,000000,0.190692,0.197702,0.182351,0.190401,1538572.7287524,0
CEEK.V,D,20220518,000000,0.190911,0.195755,0.169779,0.178098,2676293.5397838,0
CEEK.V,D,20220519,000000,0.17799,0.18865,0.164655,0.17975,2493458.816855,0
CEEK.V,D,20220520,000000,0.179151,0.18685,0.173774,0.175789,2078734.4622182,0
CEEK.V,D,20220521,000000,0.17479,0.182762,0.173774,0.179766,1335724.5009971,0
CEEK.V,D,20220522,000000,0.177751,0.187774,0.175754,0.183779,1190407.3655456,0
CEEK.V,D,20220523,000000,0.181782,0.192788,0.175789,0.18278,1780996.8640602,0
CEEK.V,D,20220524,000000,0.180783,0.183798,0.1668,0.178767,1216769.314028,0
CEEK.V,D,20220525,000000,0.178767,0.187774,0.17281,0.179784,1344403.9501533,0
CEEK.V,D,20220526,000000,0.179784,0.182799,0.160807,0.171828,2280521.7180654,0
CEEK.V,D,20220527,000000,0.171828,0.173826,0.160823,0.166833,1375077.943722,0
CEEK.V,D,20220528,000000,0.165811,0.16982,0.161783,0.165806,1204957.7785201,0
CEEK.V,D,20220529,000000,0.1678,0.174809,0.164817,0.17081,1786453.7632929,0
CEEK.V,D,20220530,000000,0.17081,0.194863,0.17081,0.189867,2753968.0385678,0
CEEK.V,D,20220531,000000,0.189848,0.192865,0.178857,0.184852,3324378.9179481,0
CEEK.V,D,20220601,000000,0.185857,0.188854,0.170812,0.171845,2302623.3734769,0
CEEK.V,D,20220602,000000,0.171852,0.178839,0.16983,0.176841,1779660.8744887,0
CEEK.V,D,20220603,000000,0.176841,0.180864,0.17081,0.176846,2151800.8122851,0
CEEK.V,D,20220604,000000,0.175847,0.177847,0.172824,0.176867,1432445.4239457,0
CEEK.V,D,20220605,000000,0.17784,0.185833,0.172843,0.182828,898256.60865278,0
CEEK.V,D,20220606,000000,0.182828,0.18984,0.177852,0.181847,1553877.2910365,0
CEEK.V,D,20220607,000000,0.181845,0.186845,0.172853,0.179856,1416878.9122287,0
CEEK.V,D,20220608,000000,0.177856,0.182901,0.172882,0.176485,4285052.5822273,0
CEEK.V,D,20220609,000000,0.175786,0.177269,0.170946,0.173055,4327199.4409583,0
CEEK.V,D,20220610,000000,0.172054,0.174057,0.157734,0.162893,8563254.331564,0
CEEK.V,D,20220611,000000,0.162592,0.163422,0.141524,0.14783,4160178.7327379,0
CEEK.V,D,20220612,000000,0.147833,0.15043,0.130815,0.134834,4269827.7440977,0
CEEK.V,D,20220613,000000,0.135833,0.136831,0.086819,0.120832,13652055.281374,0
CEEK.V,D,20220614,000000,0.12113,0.1338,0.10644,0.117959,23832406.15468,0
CEEK.V,D,20220615,000000,0.121257,0.138048,0.111898,0.134798,76946182.511414,0
CEEK.V,D,20220616,000000,0.134798,0.135823,0.121854,0.124426,13100110.28448,0
CEEK.V,D,20220617,000000,0.122432,0.129023,0.122329,0.12495,18928103.495962,0
CEEK.V,D,20220618,000000,0.124951,0.12795,0.103923,0.111817,50490661.636344,0
CEEK.V,D,20220619,000000,0.111819,0.124341,0.109436,0.121252,10610759.520439,0
CEEK.V,D,20220620,000000,0.122011,0.16328,0.116748,0.150594,17476481.319945,0
CEEK.V,D,20220621,000000,0.150689,0.156847,0.139832,0.148132,9665945.3800836,0
CEEK.V,D,20220622,000000,0.147712,0.148826,0.13624,0.137103,4901185.7126402,0
CEEK.V,D,20220623,000000,0.137313,0.146254,0.136074,0.143836,3414566.708803,0
CEEK.V,D,20220624,000000,0.143317,0.16101,0.143317,0.156458,12379442.421056,0
CEEK.V,D,20220625,000000,0.156144,0.178085,0.152793,0.175137,7708026.7425231,0
CEEK.V,D,20220626,000000,0.175912,0.255071,0.173135,0.236476,22252196.285194,0
CEEK.V,D,20220627,000000,0.235861,0.248578,0.21585,0.224827,12881764.244126,0
CEEK.V,D,20220628,000000,0.225052,0.23465,0.197753,0.207353,9591787.6679575,0
CEEK.V,D,20220629,000000,0.206512,0.234071,0.185489,0.215988,12913083.82356,0
CEEK.V,D,20220630,000000,0.216837,0.226657,0.190162,0.208849,11299990.713292,0
CEEK.V,D,20220701,000000,0.209149,0.227504,0.206652,0.215563,6120694.3403114,0
CEEK.V,D,20220702,000000,0.215263,0.227427,0.209869,0.222133,4403338.393182,0
CEEK.V,D,20220703,000000,0.22503,0.266453,0.22311,0.254269,6340285.9773143,0
CEEK.V,D,20220704,000000,0.256167,0.368957,0.248676,0.351917,20733519.593344,0
CEEK.V,D,20220705,000000,0.354184,0.362784,0.289103,0.326178,18757004.14727,0
CEEK.V,D,20220706,000000,0.32662,0.348741,0.310039,0.319378,10870878.869407,0
CEEK.V,D,20220707,000000,0.320227,0.331291,0.303526,0.328103,6708034.7271336,0
CEEK.V,D,20220708,000000,0.328803,0.330668,0.315719,0.318939,4155088.7507967,0
CEEK.V,D,20220709,000000,0.318939,0.329802,0.309794,0.323556,3535851.3560736,0
CEEK.V,D,20220710,000000,0.323806,0.325804,0.305786,0.31581,2056011.0085171,0
