<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASTR.V,D,20220514,000000,0.0713784,0.0713784,0.0712715,0.0712786,20234.75995,0
ASTR.V,D,20220515,000000,0.0688035,0.0734118,0.0657013,0.0731048,23436699.428722,0
ASTR.V,D,20220516,000000,0.0734118,0.0750174,0.0645031,0.0673124,25383767.175539,0
ASTR.V,D,20220517,000000,0.0674123,0.0711217,0.0654149,0.069916,28364641.647878,0
ASTR.V,D,20220518,000000,0.0701087,0.0735117,0.0600219,0.0615199,38051089.639919,0
ASTR.V,D,20220519,000000,0.0611204,0.0622439,0.0576365,0.0617382,35025551.134433,0
ASTR.V,D,20220520,000000,0.0616445,0.0636299,0.0546344,0.0571314,40196869.984658,0
ASTR.V,D,20220521,000000,0.0571314,0.0586237,0.0546289,0.0562268,19215871.818995,0
ASTR.V,D,20220522,000000,0.0562268,0.0596224,0.0558273,0.0565321,17783590.363398,0
ASTR.V,D,20220523,000000,0.0565321,0.0612326,0.0565321,0.0579304,26902795.785421,0
ASTR.V,D,20220524,000000,0.0579304,0.0885025,0.0546344,0.068411,311433871.70083,0
ASTR.V,D,20220525,000000,0.0684041,0.0869043,0.0648221,0.0686244,275843083.6364,0
ASTR.V,D,20220526,000000,0.0687174,0.069024,0.0593287,0.060833,86438217.518557,0
ASTR.V,D,20220527,000000,0.0610328,0.061938,0.0516431,0.0536463,57649926.924856,0
ASTR.V,D,20220528,000000,0.0535389,0.0609353,0.0533268,0.0569333,37978217.600164,0
ASTR.V,D,20220529,000000,0.0569322,0.0600369,0.0552392,0.0575366,21301460.45435,0
ASTR.V,D,20220530,000000,0.0576354,0.069044,0.0569384,0.0664534,56343325.84934,0
ASTR.V,D,20220531,000000,0.0663469,0.0764388,0.0625562,0.0642421,112578174.55776,0
ASTR.V,D,20220601,000000,0.0641499,0.0717426,0.0588352,0.059946,54063562.930334,0
ASTR.V,D,20220602,000000,0.0601452,0.0627435,0.0584474,0.0627435,22257016.540661,0
ASTR.V,D,20220603,000000,0.0627435,0.0644419,0.0567546,0.0595481,19951306.962709,0
ASTR.V,D,20220604,000000,0.0596481,0.0637502,0.0579519,0.0621527,59601267.923917,0
ASTR.V,D,20220605,000000,0.0621533,0.0627435,0.0590498,0.060543,50333504.637094,0
ASTR.V,D,20220606,000000,0.060543,0.0658453,0.0601428,0.0639462,143971167.70027,0
ASTR.V,D,20220607,000000,0.064246,0.0643465,0.0585502,0.0625493,105110375.61397,0
ASTR.V,D,20220608,000000,0.0627498,0.0655587,0.0590569,0.0606605,101139813.73049,0
ASTR.V,D,20220609,000000,0.0606605,0.0627504,0.0589481,0.0599496,75725957.261662,0
ASTR.V,D,20220610,000000,0.0598491,0.0605503,0.0535378,0.0541312,101994714.94859,0
ASTR.V,D,20220611,000000,0.0541312,0.0550394,0.0497377,0.0506417,54383614.71971,0
ASTR.V,D,20220612,000000,0.0507421,0.0529279,0.0450423,0.0500379,66586726.109006,0
ASTR.V,D,20220613,000000,0.0500379,0.0504359,0.0428817,0.0478334,245331299.68404,0
ASTR.V,D,20220614,000000,0.0479338,0.0487244,0.043235,0.0451458,379994501.17142,0
ASTR.V,D,20220615,000000,0.0451467,0.0487463,0.0422239,0.0485271,374735587.92805,0
ASTR.V,D,20220616,000000,0.0488315,0.0494357,0.0427486,0.0440427,138269298.28142,0
ASTR.V,D,20220617,000000,0.0434335,0.0491326,0.0429009,0.0469436,208051116.88779,0
ASTR.V,D,20220618,000000,0.0469436,0.0471438,0.0415393,0.0439287,493510892.84906,0
ASTR.V,D,20220619,000000,0.0438289,0.0477426,0.0427388,0.0468437,144179580.38046,0
ASTR.V,D,20220620,000000,0.0469389,0.0485465,0.0443423,0.047443,51303959.847006,0
ASTR.V,D,20220621,000000,0.0474478,0.0509592,0.0470482,0.0478521,26124287.141087,0
ASTR.V,D,20220622,000000,0.0481518,0.0482517,0.0444555,0.0448551,30270481.200061,0
ASTR.V,D,20220623,000000,0.0448551,0.0472527,0.0444555,0.0466533,14863150.514414,0
ASTR.V,D,20220624,000000,0.0464535,0.0494589,0.0463536,0.0492611,70932526.368985,0
ASTR.V,D,20220625,000000,0.0492507,0.0505666,0.0472678,0.0490656,34411268.980976,0
ASTR.V,D,20220626,000000,0.0490656,0.0584614,0.04868,0.0503688,61929020.904676,0
ASTR.V,D,20220627,000000,0.0505701,0.0592514,0.0484699,0.0516545,115810652.58732,0
ASTR.V,D,20220628,000000,0.0519516,0.054648,0.0477436,0.0487419,44090900.256563,0
ASTR.V,D,20220629,000000,0.0485392,0.0485397,0.0446379,0.0463434,31247091.746603,0
ASTR.V,D,20220630,000000,0.0461446,0.0463443,0.0418455,0.043248,28030101.914406,0
ASTR.V,D,20220701,000000,0.043248,0.0464535,0.0408427,0.0421494,37171477.391666,0
ASTR.V,D,20220702,000000,0.0421536,0.0446508,0.0415542,0.0429484,23381487.687609,0
ASTR.V,D,20220703,000000,0.0429484,0.0453455,0.0421451,0.0425446,20956835.332697,0
ASTR.V,D,20220704,000000,0.0425446,0.0443467,0.042245,0.0438473,15028495.627878,0
ASTR.V,D,20220705,000000,0.0437474,0.044946,0.0419496,0.0428528,14408144.691828,0
ASTR.V,D,20220706,000000,0.0430526,0.0447507,0.0420495,0.0433523,20096924.184572,0
ASTR.V,D,20220707,000000,0.0433523,0.0466486,0.0433479,0.0451729,48434131.280733,0
ASTR.V,D,20220708,000000,0.0450729,0.0474668,0.0435738,0.0446732,26238608.116301,0
ASTR.V,D,20220709,000000,0.0446732,0.0467719,0.0443689,0.0455726,11776950.442406,0
ASTR.V,D,20220710,000000,0.0457725,0.0458725,0.0424703,0.043374,8695790.115412,0
ASTR.V,D,20220711,000000,0.043374,0.043374,0.0404716,0.0407633,12581002.839943,0
ASTR.V,D,20220712,000000,0.0406634,0.0417582,0.0395604,0.0405553,14388561.062205,0
ASTR.V,D,20220713,000000,0.0404607,0.0420579,0.0394565,0.0416625,19272495.678295,0
