<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSM.V,D,20200213,000000,1.197,1.378,1.138,1.307,0,0
KSM.V,D,20200214,000000,1.293,2.444,1.293,1.667,0,0
KSM.V,D,20200215,000000,1.643,2.18,1.55,1.67,0,0
KSM.V,D,20200216,000000,1.665,1.716,1.492,1.504,0,0
KSM.V,D,20200217,000000,1.504,1.795,1.358,1.402,0,0
KSM.V,D,20200218,000000,1.403,1.794,1.403,1.653,0,0
KSM.V,D,20200219,000000,1.651,2.257,1.557,2.079,0,0
KSM.V,D,20200220,000000,2.079,2.383,1.896,2.001,0,0
KSM.V,D,20200221,000000,1.975,3.336,1.938,2.689,0,0
KSM.V,D,20200222,000000,2.689,3.697,2.465,3.153,0,0
KSM.V,D,20200223,000000,3.153,3.153,2.445,2.812,0,0
KSM.V,D,20200224,000000,2.812,3.225,2.771,3.214,0,0
KSM.V,D,20200225,000000,3.214,3.472,2.867,3.027,0,0
KSM.V,D,20200226,000000,3.027,3.156,2.13,2.346,0,0
KSM.V,D,20200227,000000,2.346,2.944,2.135,2.723,0,0
KSM.V,D,20200228,000000,2.723,3.009,2.332,2.718,0,0
KSM.V,D,20200229,000000,2.704,3.123,2.647,2.886,0,0
KSM.V,D,20200301,000000,2.886,3.081,1.976,2.845,0,0
KSM.V,D,20200302,000000,2.845,3.968,2.845,3.624,0,0
KSM.V,D,20200303,000000,3.624,3.624,3.419,3.59,0,0
KSM.V,D,20200304,000000,3.594,3.626,3.262,3.484,0,0
KSM.V,D,20200305,000000,3.484,3.55,3.106,3.12,0,0
KSM.V,D,20200306,000000,3.12,3.217,2.903,2.931,0,0
KSM.V,D,20200307,000000,2.931,3.225,2.671,3.08,0,0
KSM.V,D,20200308,000000,3.08,3.504,2.936,3.012,0,0
KSM.V,D,20200309,000000,3.002,3.17,2.244,2.495,0,0
KSM.V,D,20200310,000000,2.495,2.618,2.264,2.417,0,0
KSM.V,D,20200311,000000,2.425,2.532,1.916,2.035,0,0
KSM.V,D,20200312,000000,2.035,2.062,1.453,1.502,0,0
