<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FET.V,D,20220514,000000,0.161625,0.187786,0.145236,0.169163,11137064.808529578,0
FET.V,D,20220515,000000,0.168664,0.184024,0.168464,0.177187,3269491.989881872,0
FET.V,D,20220516,000000,0.177369,0.187312,0.166899,0.183062,3217215.1999046295,0
FET.V,D,20220517,000000,0.182662,0.19972,0.178068,0.189054,7171723.259351732,0
FET.V,D,20220518,000000,0.188754,0.192469,0.16868,0.169779,4360480.185021219,0
FET.V,D,20220519,000000,0.169562,0.183217,0.160891,0.180719,4698546.238271083,0
FET.V,D,20220520,000000,0.18012,0.182399,0.165901,0.1664,4074322.510211793,0
FET.V,D,20220521,000000,0.1662,0.173274,0.164502,0.169779,3183085.630486887,0
FET.V,D,20220522,000000,0.169479,0.175571,0.167266,0.170595,4473875.871798545,0
FET.V,D,20220523,000000,0.170795,0.179221,0.165601,0.169896,6270215.0634220205,0
FET.V,D,20220524,000000,0.169496,0.169496,0.153516,0.163188,4200282.181750912,0
FET.V,D,20220525,000000,0.163188,0.165801,0.157127,0.161406,3369622.1396919466,0
FET.V,D,20220526,000000,0.160907,0.162221,0.139632,0.146154,4126659.0858274046,0
FET.V,D,20220527,000000,0.146054,0.151733,0.134852,0.142543,7154144.502241756,0
FET.V,D,20220528,000000,0.142158,0.167822,0.138328,0.158216,22466973.137170803,0
FET.V,D,20220529,000000,0.158714,0.170416,0.154536,0.157725,16631743.939948132,0
FET.V,D,20220530,000000,0.157825,0.173179,0.157435,0.168382,7182202.362738694,0
FET.V,D,20220531,000000,0.168582,0.17436,0.16187,0.168065,4883266.5120136365,0
FET.V,D,20220601,000000,0.168265,0.173678,0.14985,0.151963,4677275.202690084,0
FET.V,D,20220602,000000,0.152363,0.162653,0.149865,0.160455,7025350.882151594,0
FET.V,D,20220603,000000,0.160356,0.165672,0.151152,0.158462,8165247.2090554675,0
FET.V,D,20220604,000000,0.158162,0.158464,0.149051,0.152386,26098198.75598886,0
FET.V,D,20220605,000000,0.152387,0.153662,0.144185,0.14906,29294173.986511238,0
FET.V,D,20220606,000000,0.14906,0.157169,0.146564,0.149872,56939834.90892274,0
FET.V,D,20220607,000000,0.149972,0.163766,0.138982,0.156773,55426418.11518341,0
FET.V,D,20220608,000000,0.157074,0.173787,0.149099,0.150302,44279004.133721076,0
FET.V,D,20220609,000000,0.150002,0.167674,0.148982,0.156369,31349696.598499242,0
FET.V,D,20220610,000000,0.156169,0.167459,0.144532,0.146314,54083622.78915907,0
FET.V,D,20220611,000000,0.146512,0.149938,0.133635,0.137844,11232346.440091714,0
FET.V,D,20220612,000000,0.137843,0.138645,0.120431,0.122249,30899880.393054884,0
FET.V,D,20220613,000000,0.12105,0.12105,0.103316,0.108948,133260576.61346188,0
FET.V,D,20220614,000000,0.10875,0.11456,0.101748,0.106572,134844127.87819767,0
FET.V,D,20220615,000000,0.106872,0.110372,0.085089,0.103944,87389838.32982913,0
FET.V,D,20220616,000000,0.103345,0.107582,0.084399,0.086279,30034581.675405998,0
FET.V,D,20220617,000000,0.082685,0.084685,0.076293,0.0805041,186136011.68082505,0
FET.V,D,20220618,000000,0.08,0.0907736,0.0663017,0.0719825,167623800.47664985,0
FET.V,D,20220619,000000,0.0718834,0.0804034,0.070698,0.0791969,48361717.16451276,0
FET.V,D,20220620,000000,0.0792968,0.0827089,0.0743033,0.0776145,35150247.30244464,0
FET.V,D,20220621,000000,0.077407,0.0875299,0.0765157,0.0822095,34044218.88157517,0
FET.V,D,20220622,000000,0.0820097,0.0878121,0.0788211,0.0831168,27557751.06643913,0
FET.V,D,20220623,000000,0.0831168,0.0838161,0.0796203,0.0824175,21607427.531973504,0
FET.V,D,20220624,000000,0.0822177,0.0912288,0.0814104,0.0900297,143573160.4396674,0
FET.V,D,20220625,000000,0.0898299,0.0952352,0.0864455,0.0895373,71011408.34370454,0
FET.V,D,20220626,000000,0.0898371,0.0944338,0.0870469,0.0883461,40832129.659253746,0
FET.V,D,20220627,000000,0.0885451,0.0885477,0.0790351,0.0823258,34959622.38768814,0
FET.V,D,20220628,000000,0.0820278,0.0842233,0.075905,0.0771081,17623747.52079227,0
FET.V,D,20220629,000000,0.0771043,0.0796899,0.0730953,0.0782053,28471681.97629105,0
FET.V,D,20220630,000000,0.0781062,0.0792048,0.0688118,0.0705153,33715356.65380274,0
FET.V,D,20220701,000000,0.0702156,0.0777144,0.0700159,0.0746178,21059539.06325988,0
FET.V,D,20220702,000000,0.0743182,0.0828005,0.0722205,0.0763083,35232497.11008877,0
FET.V,D,20220703,000000,0.0761086,0.0773071,0.0716995,0.0740037,22144576.188943222,0
FET.V,D,20220704,000000,0.0741035,0.076608,0.0724057,0.0758089,9358571.303300885,0
FET.V,D,20220705,000000,0.075709,0.0777066,0.0716211,0.0752172,15796634.207017105,0
FET.V,D,20220706,000000,0.0751173,0.0787133,0.0730196,0.0752172,17860291.427610256,0
FET.V,D,20220707,000000,0.0753171,0.0828088,0.0749175,0.0817509,21079313.513055384,0
FET.V,D,20220708,000000,0.0817509,0.0833416,0.0761467,0.0796522,16194029.837734759,0
FET.V,D,20220709,000000,0.0795522,0.0835498,0.0788527,0.0830501,10789378.452884952,0
FET.V,D,20220710,000000,0.0830501,0.0830501,0.076554,0.0770537,16429225.529816836,0
FET.V,D,20220711,000000,0.0771537,0.0772536,0.0735264,0.0735338,11364451.26966174,0
FET.V,D,20220712,000000,0.0735293,0.0748251,0.0683316,0.0695304,17462810.5242699,0
FET.V,D,20220713,000000,0.0694326,0.0736263,0.0668264,0.0727345,23223649.60184456,0
FET.V,D,20220714,000000,0.0726346,0.0806274,0.0723348,0.0753548,36212356.98835423,0
FET.V,D,20220715,000000,0.0753548,0.0798521,0.0751549,0.0784765,36360560.360926576,0
FET.V,D,20220716,000000,0.0784765,0.0824835,0.0760696,0.0806758,51636323.71428127,0
FET.V,D,20220717,000000,0.0808838,0.0827785,0.0786898,0.080579,18161945.805810224,0
FET.V,D,20220718,000000,0.0803839,0.0858948,0.079177,0.0818812,25809508.27209281,0
FET.V,D,20220719,000000,0.0818754,0.0908955,0.0818754,0.0889142,42197840.306867816,0
FET.V,D,20220720,000000,0.0889,0.0934177,0.0826058,0.0859043,59337708.787021585,0
FET.V,D,20220721,000000,0.0857043,0.0866191,0.080004,0.0862207,26727011.551999312,0
FET.V,D,20220722,000000,0.0863216,0.0887231,0.0817155,0.0828124,21234633.032587025,0
FET.V,D,20220723,000000,0.0826,0.0850128,0.0806927,0.0820156,13541174.719291644,0
