<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COTI.V,D,20220514,000000,0.115903,0.117189,0.097595,0.1066398,13734982.867302,0
COTI.V,D,20220515,000000,0.1067397,0.1193566,0.1044536,0.1192448,10998355.830515,0
COTI.V,D,20220516,000000,0.1194565,0.1220411,0.1053734,0.1122539,11945722.174963,0
COTI.V,D,20220517,000000,0.1128531,0.1235639,0.1089582,0.1210424,17724353.858413,0
COTI.V,D,20220518,000000,0.1212422,0.12294,0.1074601,0.1085587,12719528.084622,0
COTI.V,D,20220519,000000,0.1090471,0.1162836,0.1018674,0.1112886,9310692.3758961,0
COTI.V,D,20220520,000000,0.1112886,0.116272,0.1039647,0.1061618,9971039.5856443,0
COTI.V,D,20220521,000000,0.1061724,0.1124536,0.1049739,0.1080593,10172668.125845,0
COTI.V,D,20220522,000000,0.1078596,0.1189571,0.1069608,0.1166598,12387900.010947,0
COTI.V,D,20220523,000000,0.1170594,0.1305693,0.1154613,0.1191568,37410294.456662,0
COTI.V,D,20220524,000000,0.1191568,0.1228647,0.1093796,0.1195324,18977852.817609,0
COTI.V,D,20220525,000000,0.1195444,0.1238388,0.1154728,0.1216538,17831590.671188,0
COTI.V,D,20220526,000000,0.1217537,0.123664,0.104485,0.115085,22848938.927863,0
COTI.V,D,20220527,000000,0.114885,0.116472,0.105494,0.106982,17345087.405392,0
COTI.V,D,20220528,000000,0.106878,0.110781,0.105057,0.109472,11150081.724743,0
COTI.V,D,20220529,000000,0.10937,0.11348,0.106994,0.113375,7998540.302663,0
COTI.V,D,20220530,000000,0.113574,0.125012,0.112383,0.123114,20149756.866355,0
COTI.V,D,20220531,000000,0.123414,0.138789,0.120803,0.13749,39861184.240593,0
COTI.V,D,20220601,000000,0.13759,0.139394,0.118981,0.12159,27267177.799774,0
COTI.V,D,20220602,000000,0.121191,0.124188,0.118393,0.12259,14600508.059519,0
COTI.V,D,20220603,000000,0.12249,0.125879,0.112994,0.122793,19032914.54828,0
COTI.V,D,20220604,000000,0.122693,0.123793,0.119075,0.121508,26216303.158131,0
COTI.V,D,20220605,000000,0.121608,0.122702,0.118,0.120187,22237060.406971,0
COTI.V,D,20220606,000000,0.120487,0.129793,0.118389,0.122697,83237539.854362,0
COTI.V,D,20220607,000000,0.122597,0.139288,0.112706,0.128794,69359003.641325,0
COTI.V,D,20220608,000000,0.129097,0.144904,0.123108,0.140309,98334450.846659,0
COTI.V,D,20220609,000000,0.140708,0.144587,0.128288,0.13119,60576730.860059,0
COTI.V,D,20220610,000000,0.131288,0.132394,0.118374,0.121645,78842513.602011,0
COTI.V,D,20220611,000000,0.121745,0.125366,0.105776,0.109876,31964876.721614,0
COTI.V,D,20220612,000000,0.109876,0.111373,0.097962,0.104571,23295533.270931,0
COTI.V,D,20220613,000000,0.104671,0.104671,0.084367,0.092172,173206322.23309,0
COTI.V,D,20220614,000000,0.092272,0.099643,0.085272,0.090791,342215765.98214,0
COTI.V,D,20220615,000000,0.09059,0.097892,0.082337,0.097054,163682354.83028,0
COTI.V,D,20220616,000000,0.096954,0.098771,0.0870954,0.0897741,29276422.34632,0
COTI.V,D,20220617,000000,0.0859803,0.092,0.0846821,0.0892927,167687191.84917,0
COTI.V,D,20220618,000000,0.0902,0.0909,0.0771879,0.082066,164522031.05266,0
COTI.V,D,20220619,000000,0.0820668,0.0902915,0.0793855,0.0885847,35969426.913879,0
COTI.V,D,20220620,000000,0.0885847,0.0927978,0.0842903,0.0903006,19478370.618461,0
COTI.V,D,20220621,000000,0.0902007,0.0983213,0.0888022,0.092598,35462385.502034,0
COTI.V,D,20220622,000000,0.0927072,0.0934065,0.0865047,0.0891108,24029004.420235,0
COTI.V,D,20220623,000000,0.0897102,0.095904,0.0882117,0.0943056,21777325.063605,0
COTI.V,D,20220624,000000,0.0943056,0.1005235,0.0941058,0.1002208,69681603.154948,0
COTI.V,D,20220625,000000,0.1002996,0.102828,0.095633,0.101429,40316171.033153,0
COTI.V,D,20220626,000000,0.101429,0.1081351,0.0994383,0.1053357,30465582.913372,0
COTI.V,D,20220627,000000,0.1054346,0.1054346,0.0974093,0.1005095,18380819.999306,0
COTI.V,D,20220628,000000,0.1005044,0.1035068,0.0966004,0.0996772,12392221.033029,0
COTI.V,D,20220629,000000,0.0994765,0.0994765,0.0927783,0.0953844,17849231.625596,0
COTI.V,D,20220630,000000,0.095685,0.0960846,0.0865873,0.0893926,23956731.014785,0
COTI.V,D,20220701,000000,0.0891928,0.0956946,0.0887933,0.0923983,31296974.13963,0
COTI.V,D,20220702,000000,0.092598,0.0929976,0.0891019,0.09159,16075457.132818,0
COTI.V,D,20220703,000000,0.0917897,0.0919895,0.0868782,0.089084,9391752.6260545,0
COTI.V,D,20220704,000000,0.0894835,0.094087,0.0874774,0.0933878,11076130.824213,0
COTI.V,D,20220705,000000,0.0932879,0.0967837,0.0895014,0.093497,10844942.815431,0
COTI.V,D,20220706,000000,0.0935969,0.0938966,0.0908999,0.0913994,8793811.6875398,0
COTI.V,D,20220707,000000,0.0915991,0.0953332,0.09159,0.0941435,9474172.6668707,0
COTI.V,D,20220708,000000,0.0942434,0.0964325,0.0906365,0.091645,12762083.590986,0
COTI.V,D,20220709,000000,0.0918449,0.0968419,0.0911362,0.0955426,11101744.066114,0
COTI.V,D,20220710,000000,0.0954331,0.0993404,0.0935438,0.096542,13625975.299594,0
COTI.V,D,20220711,000000,0.096542,0.096542,0.087721,0.0884203,10351097.748602,0
COTI.V,D,20220712,000000,0.0880383,0.0880383,0.0833083,0.0835164,19255633.852658,0
COTI.V,D,20220713,000000,0.0833191,0.0852147,0.0785135,0.0837246,18707420.87459,0
COTI.V,D,20220714,000000,0.0838245,0.0909363,0.0832334,0.0891465,31275924.430337,0
COTI.V,D,20220715,000000,0.0890465,0.103338,0.0886468,0.1001699,73747763.970423,0
COTI.V,D,20220716,000000,0.1001699,0.10086,0.0946716,0.09877,18759545.139268,0
COTI.V,D,20220717,000000,0.098874,0.103772,0.0981833,0.1030732,19145529.482174,0
COTI.V,D,20220718,000000,0.1032721,0.1099868,0.1014685,0.1047759,35334695.841193,0
COTI.V,D,20220719,000000,0.1047686,0.112,0.1042729,0.111318,23961696.769011,0
COTI.V,D,20220720,000000,0.1111,0.11561,0.103698,0.107105,30275970.992508,0
COTI.V,D,20220721,000000,0.107106,0.107624,0.100611,0.106727,24319141.106385,0
COTI.V,D,20220722,000000,0.106726,0.111221,0.10302,0.104323,12823527.133712,0
COTI.V,D,20220723,000000,0.104224,0.10781,0.1008,0.102419,11103469.138118,0
COTI.V,D,20220724,000000,0.102813,0.10642,0.102804,0.106221,19718850.01192,0
COTI.V,D,20220725,000000,0.106321,0.107321,0.094715,0.095408,33570784.447562,0
COTI.V,D,20220726,000000,0.095309,0.095419,0.0892,0.091714,18297963.925683,0
COTI.V,D,20220727,000000,0.092214,0.10024,0.092013,0.099522,18731297.378552,0
COTI.V,D,20220728,000000,0.099424,0.108734,0.099423,0.106521,25022217.872124,0
COTI.V,D,20220729,000000,0.106628,0.111229,0.10353,0.106644,35818638.697634,0
COTI.V,D,20220730,000000,0.106543,0.116441,0.106443,0.110937,25116722.317963,0
COTI.V,D,20220731,000000,0.110838,0.115724,0.107939,0.112326,19115314.11217,0
COTI.V,D,20220801,000000,0.112527,0.117834,0.108045,0.112934,24516718.925828,0
COTI.V,D,20220802,000000,0.114033,0.117735,0.105731,0.113919,41595258.121686,0
COTI.V,D,20220803,000000,0.113919,0.115823,0.109028,0.113228,23757363.396992,0
COTI.V,D,20220804,000000,0.113231,0.113426,0.107508,0.108103,15038930.809909,0
COTI.V,D,20220805,000000,0.108003,0.113523,0.108003,0.112421,7968217.7424036,0
COTI.V,D,20220806,000000,0.112421,0.115923,0.112321,0.114625,10042785.185061,0
COTI.V,D,20220807,000000,0.114625,0.120827,0.111927,0.119623,28808780.825492,0
COTI.V,D,20220808,000000,0.119523,0.12312,0.118319,0.119914,22073746.669736,0
COTI.V,D,20220809,000000,0.119814,0.121425,0.111928,0.113423,14040648.314377,0
COTI.V,D,20220810,000000,0.113323,0.12016,0.109231,0.119835,17360066.701074,0
COTI.V,D,20220811,000000,0.119836,0.124247,0.119736,0.121457,18227390.923896,0
COTI.V,D,20220812,000000,0.121457,0.123762,0.118747,0.121456,9933655.6831885,0
COTI.V,D,20220813,000000,0.121455,0.124361,0.121153,0.122748,10570979.025871,0
COTI.V,D,20220814,000000,0.122549,0.125243,0.11623,0.116636,11825742.793054,0
COTI.V,D,20220815,000000,0.116435,0.11953,0.11293,0.113927,11249644.215712,0
COTI.V,D,20220816,000000,0.114127,0.116323,0.112003,0.11291,10684574.546479,0
COTI.V,D,20220817,000000,0.11331,0.118617,0.107305,0.108108,18087095.596133,0
COTI.V,D,20220818,000000,0.108308,0.111307,0.107609,0.109101,7048015.752502,0
COTI.V,D,20220819,000000,0.109111,0.109111,0.094,0.09551,19970452.29463,0
COTI.V,D,20220820,000000,0.095603,0.098812,0.092375,0.0946,11435372.439085,0
COTI.V,D,20220821,000000,0.094597,0.099897,0.094186,0.098798,4773786.2590399,0
COTI.V,D,20220822,000000,0.098598,0.1018,0.093493,0.095483,27856973.026903,0
COTI.V,D,20220823,000000,0.095486,0.101691,0.095485,0.100602,14342762.225763,0
COTI.V,D,20220824,000000,0.1007,0.101805,0.098196,0.100108,9089424.9920451,0
COTI.V,D,20220825,000000,0.100108,0.101603,0.097106,0.098503,25382004.403039,0
COTI.V,D,20220826,000000,0.098703,0.099111,0.0894,0.090909,18712561.363082,0
COTI.V,D,20220827,000000,0.090909,0.091009,0.087493,0.089703,7410560.6410561,0
COTI.V,D,20220828,000000,0.089502,0.092701,0.088795,0.089099,11431984.947907,0
COTI.V,D,20220829,000000,0.088899,0.092595,0.084792,0.091506,14080906.075376,0
COTI.V,D,20220830,000000,0.091609,0.0938991,0.0864017,0.0890071,7208384.2231712,0
COTI.V,D,20220831,000000,0.0891071,0.0922083,0.0886106,0.0905991,6460335.6472153,0
COTI.V,D,20220901,000000,0.0911009,0.0921046,0.0879956,0.0911945,7829108.0770177,0
COTI.V,D,20220902,000000,0.0915963,0.0948066,0.0900063,0.0919156,8337788.7975787,0
COTI.V,D,20220903,000000,0.0918147,0.0951,0.0912137,0.0942,11695902.016249,0
COTI.V,D,20220904,000000,0.0943,0.0957096,0.0927,0.0952,6979527.8480328,0
COTI.V,D,20220905,000000,0.0947,0.0962,0.0917,0.0929093,6306206.5336427,0
COTI.V,D,20220906,000000,0.0929093,0.0956096,0.0854,0.0878,15801405.461518,0
COTI.V,D,20220907,000000,0.0878,0.095099,0.087407,0.0945066,12019536.687431,0
COTI.V,D,20220908,000000,0.0945057,0.0982069,0.0930084,0.0959153,18632288.157856,0
COTI.V,D,20220909,000000,0.0960154,0.0982226,0.0958096,0.0975331,11832409.225102,0
COTI.V,D,20220910,000000,0.0973399,0.1005412,0.0959278,0.0986197,10915380.410021,0
COTI.V,D,20220911,000000,0.0984207,0.1016376,0.0967377,0.0972243,8534501.409728,0
COTI.V,D,20220912,000000,0.0984236,0.1051179,0.0973214,0.1017203,22621074.052371,0
COTI.V,D,20220913,000000,0.1017183,0.104126,0.0917037,0.0926019,18498604.097415,0
COTI.V,D,20220914,000000,0.0926019,0.0943179,0.0905054,0.0942236,9681094.2580834,0
COTI.V,D,20220915,000000,0.0941254,0.0946218,0.0896269,0.0913918,9530098.7430283,0
COTI.V,D,20220916,000000,0.0911936,0.1089,0.0880921,0.09829,102724749.83138,0
COTI.V,D,20220917,000000,0.09889,0.0992,0.0939,0.0954,21953230.859826,0
COTI.V,D,20220918,000000,0.0953,0.1013,0.090191,0.0912,35629379.146526,0
COTI.V,D,20220919,000000,0.0902,0.0934187,0.0881,0.0929093,19267543.561341,0
COTI.V,D,20220920,000000,0.0929093,0.09961,0.0929093,0.0937094,26989104.400186,0
COTI.V,D,20220921,000000,0.0937094,0.0982098,0.089709,0.0934,26733605.934415,0
COTI.V,D,20220922,000000,0.0936,0.0980098,0.0926,0.0964904,22977594.302232,0
COTI.V,D,20220923,000000,0.0966,0.1092,0.0966,0.1074,72739570.61662,0
COTI.V,D,20220924,000000,0.1077935,0.109789,0.102399,0.1062085,29033636.985547,0
COTI.V,D,20220925,000000,0.1062,0.1067107,0.099403,0.104299,38401481.10522,0
COTI.V,D,20220926,000000,0.1042,0.1083043,0.0999,0.1008,24569924.913815,0
COTI.V,D,20220927,000000,0.1007,0.106189,0.1007,0.10469,23686704.75514,0
COTI.V,D,20220928,000000,0.1046,0.1074,0.10099,0.1051,41406437.846375,0
COTI.V,D,20220929,000000,0.1051,0.1079,0.1021,0.107,26295468.463262,0
COTI.V,D,20220930,000000,0.1072,0.108611,0.1043,0.1064,22485850.17096,0
COTI.V,D,20221001,000000,0.1064,0.1098,0.1049,0.1072,20943571.899392,0
COTI.V,D,20221002,000000,0.1074,0.111411,0.1056,0.1091,28861144.763002,0
COTI.V,D,20221003,000000,0.1091,0.126313,0.1064,0.125012,186612825.40492,0
COTI.V,D,20221004,000000,0.127113,0.130526,0.119524,0.120536,62846033.908234,0
COTI.V,D,20221005,000000,0.120624,0.125025,0.117924,0.123212,34963160.989572,0
COTI.V,D,20221006,000000,0.123525,0.123525,0.113913,0.114621,28631556.436592,0
COTI.V,D,20221007,000000,0.114319,0.117118,0.110804,0.113316,17893743.130335,0
COTI.V,D,20221008,000000,0.113311,0.114407,0.10931,0.109727,8181328.5487322,0
COTI.V,D,20221009,000000,0.109729,0.114923,0.109317,0.113111,11806368.965537,0
COTI.V,D,20221010,000000,0.113023,0.114811,0.1098,0.110189,13367648.233451,0
COTI.V,D,20221011,000000,0.1101,0.1101,0.1023,0.104091,43261204.086168,0
COTI.V,D,20221012,000000,0.10399,0.105193,0.101,0.102504,10119551.352418,0
COTI.V,D,20221013,000000,0.102604,0.102804,0.092493,0.099809,24847820.821374,0
COTI.V,D,20221014,000000,0.099808,0.101708,0.0944028,0.0945038,18699928.408075,0
COTI.V,D,20221015,000000,0.0947038,0.100409,0.0945019,0.099605,12454009.851231,0
COTI.V,D,20221016,000000,0.099605,0.100203,0.0975019,0.0978039,14099680.99782,0
COTI.V,D,20221017,000000,0.0978049,0.1028113,0.097702,0.101202,11122130.75494,0
COTI.V,D,20221018,000000,0.101203,0.1023051,0.096301,0.0976049,8463963.4344005,0
COTI.V,D,20221019,000000,0.0975059,0.100306,0.096401,0.0989,8521205.5712185,0
COTI.V,D,20221020,000000,0.098899,0.099103,0.0948934,0.0961894,8644270.4608904,0
COTI.V,D,20221021,000000,0.0959933,0.0985059,0.0943962,0.0980069,6761941.2802721,0
COTI.V,D,20221022,000000,0.0980069,0.099305,0.0970068,0.0979078,4447527.9068708,0
COTI.V,D,20221023,000000,0.0979088,0.10031,0.0968019,0.0993139,8257216.9098251,0
COTI.V,D,20221024,000000,0.0994119,0.1007081,0.0979157,0.099205,4974517.6054492,0
