<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUN.V,D,20220514,000000,0.00895385,0.00895385,0.00895385,0.00895385,11283.309,0
FUN.V,D,20220515,000000,0.00894656,0.0092979,0.00891661,0.00920894,5614730.86927,0
FUN.V,D,20220516,000000,0.00926886,0.00932973,0.00889663,0.00895834,5186273.38938,0
FUN.V,D,20220517,000000,0.00895834,0.00919803,0.00890751,0.00919803,4715653.8258,0
FUN.V,D,20220518,000000,0.00922891,0.00923798,0.00893747,0.00895834,5749533.7138,0
FUN.V,D,20220519,000000,0.00897741,0.00899829,0.00867957,0.00887112,13898992.5299,0
FUN.V,D,20220520,000000,0.00886113,0.00916266,0.00886113,0.00903914,7727677.54206,0
FUN.V,D,20220521,000000,0.00902915,0.00911813,0.00897921,0.00908817,6827107.52312,0
FUN.V,D,20220522,000000,0.00908817,0.00926794,0.00902825,0.00917897,5347422.96544,0
FUN.V,D,20220523,000000,0.00920894,0.00928977,0.00908999,0.00912903,4836128.10317,0
FUN.V,D,20220524,000000,0.00907909,0.00976924,0.00883938,0.00905821,26145246.72825,0
FUN.V,D,20220525,000000,0.00908817,0.00911813,0.00886934,0.0089901,6092642.9844961,0
FUN.V,D,20220526,000000,0.00901916,0.00903006,0.00874038,0.00885114,4591319.04578,0
FUN.V,D,20220527,000000,0.00886113,0.0088911,0.00874125,0.00884115,2483614.7434,0
FUN.V,D,20220528,000000,0.00882046,0.00887907,0.00871917,0.00881976,2780064.6055925,0
FUN.V,D,20220529,000000,0.00881949,0.00894051,0.00876035,0.00886086,1575395.812462,0
FUN.V,D,20220530,000000,0.00887032,0.00920355,0.00885043,0.00919264,3250758.54438,0
FUN.V,D,20220531,000000,0.00921355,0.0092735,0.00913177,0.00925259,5108547.04453,0
FUN.V,D,20220601,000000,0.00926305,0.00926305,0.00893195,0.00896103,2796111.67782,0
FUN.V,D,20220602,000000,0.00897192,0.00905185,0.00895194,0.00902187,2745097.9836,0
FUN.V,D,20220603,000000,0.00902187,0.00905339,0.00879173,0.00890225,2142281.64288,0
FUN.V,D,20220604,000000,0.00890225,0.00899298,0.00887281,0.00898317,49624393.312555,0
FUN.V,D,20220605,000000,0.00898335,0.00905185,0.00891206,0.00899154,52231073.865863,0
FUN.V,D,20220606,000000,0.00899154,0.0091226,0.0089712,0.00909236,189230765.57314,0
FUN.V,D,20220607,000000,0.00909236,0.00911225,0.00882249,0.00899253,104964517.35956,0
FUN.V,D,20220608,000000,0.00899262,0.0090939,0.0089142,0.00903412,72955397.31681,0
FUN.V,D,20220609,000000,0.00903412,0.00921309,0.00901278,0.00906238,66679046.501634,0
FUN.V,D,20220610,000000,0.00906238,0.00910198,0.00870068,0.00873898,51445657.26511,0
