<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAY.V,D,20220514,000000,1.30578,1.31064,1.17952,1.26822,1761863.8041190016,0
RAY.V,D,20220515,000000,1.26722,1.32527,1.23427,1.32527,1664711.610688902,0
RAY.V,D,20220516,000000,1.32441,1.35337,1.20431,1.24538,2122629.5025718007,0
RAY.V,D,20220517,000000,1.24838,1.33453,1.21817,1.27234,1253894.3437089024,0
RAY.V,D,20220518,000000,1.27234,1.32428,1.17747,1.18346,2107727.286784496,0
RAY.V,D,20220519,000000,1.18246,1.19892,1.13375,1.15185,2293584.1805895,0
RAY.V,D,20220520,000000,1.14985,1.18358,1.05473,1.07071,2253789.474104595,0
RAY.V,D,20220521,000000,1.06872,1.09258,1.04175,1.05463,1668994.5590776019,0
RAY.V,D,20220522,000000,1.05252,1.11166,1.04564,1.07371,1610674.0707730001,0
RAY.V,D,20220523,000000,1.07471,1.12376,1.03775,1.04065,2057136.3528380042,0
RAY.V,D,20220524,000000,1.03975,1.03975,0.96284,0.9967,2386572.186591794,0
RAY.V,D,20220525,000000,0.9977,1.02067,0.97583,0.9969,2299963.7713068086,0
RAY.V,D,20220526,000000,0.9959,0.9959,0.871952,0.903096,2396594.140308005,0
RAY.V,D,20220527,000000,0.908999,0.9208,0.854059,0.8922,2575891.4479150022,0
RAY.V,D,20220528,000000,0.8916,0.922984,0.8739,0.911932,1773489.3341079997,0
RAY.V,D,20220529,000000,0.911904,0.955938,0.885034,0.943951,2162236.1324880025,0
RAY.V,D,20220530,000000,0.945949,1.02728,0.935969,1.012291,2086961.1722320036,0
RAY.V,D,20220531,000000,1.014289,1.07714,0.98321,1.01818,2989404.166791998,0
RAY.V,D,20220601,000000,1.01721,1.04322,0.89102,0.90818,2295140.4729360975,0
RAY.V,D,20220602,000000,0.90509,0.94015,0.8922,0.93016,2074406.277541003,0
RAY.V,D,20220603,000000,0.93116,0.94231,0.8771,0.89222,1979445.7608794991,0
RAY.V,D,20220604,000000,0.89422,0.90419,0.85011,0.87434,4561285.956324599,0
RAY.V,D,20220605,000000,0.87334,0.91222,0.8524,0.89116,4178328.876974804,0
RAY.V,D,20220606,000000,0.89316,0.96413,0.87816,0.92722,10775985.167032521,0
RAY.V,D,20220607,000000,0.92622,0.96223,0.84334,0.91826,6802461.087332699,0
RAY.V,D,20220608,000000,0.92026,0.92526,0.87437,0.88642,6039842.0385764595,0
RAY.V,D,20220609,000000,0.88742,0.93517,0.86636,0.887254,6408360.0420048665,0
RAY.V,D,20220610,000000,0.886246,0.890287,0.805113,0.813965,5874941.3797863815,0
RAY.V,D,20220611,000000,0.813957,0.82112,0.733082,0.758142,3485321.3609340936,0
RAY.V,D,20220612,000000,0.757136,0.797833,0.70999,0.767055,3719076.7120439988,0
RAY.V,D,20220613,000000,0.765058,0.765058,0.648069,0.688042,12508786.323351825,0
RAY.V,D,20220614,000000,0.689048,0.721959,0.645037,0.690171,19334167.715236746,0
RAY.V,D,20220615,000000,0.68818,0.730902,0.631861,0.730902,14436992.922686169,0
RAY.V,D,20220616,000000,0.732899,0.767002,0.663659,0.681644,2495099.2217381885,0
RAY.V,D,20220617,000000,0.658384,0.688641,0.653384,0.674889,3733664.6311959065,0
RAY.V,D,20220618,000000,0.674397,0.674896,0.589139,0.611009,10093971.057441425,0
RAY.V,D,20220619,000000,0.611009,0.712144,0.602035,0.698091,33100544.155011445,0
RAY.V,D,20220620,000000,0.7004,0.7277,0.6668,0.7062,4809384.027282495,0
RAY.V,D,20220621,000000,0.707221,0.757394,0.698231,0.715212,1689265.3327655972,0
RAY.V,D,20220622,000000,0.715212,0.723276,0.673259,0.682317,4743207.967579997,0
RAY.V,D,20220623,000000,0.683248,0.728271,0.673326,0.721278,2593439.7638650006,0
RAY.V,D,20220624,000000,0.721,0.776347,0.721,0.765403,4364768.967749021,0
RAY.V,D,20220625,000000,0.767232,0.778455,0.723493,0.757469,2879514.1497148657,0
RAY.V,D,20220626,000000,0.758469,0.791561,0.739656,0.75414,5456948.019844095,0
RAY.V,D,20220627,000000,0.754147,0.754147,0.694888,0.702574,807375.0044699998,0
RAY.V,D,20220628,000000,0.704337,0.725347,0.678158,0.681154,1851833.8438618989,0
RAY.V,D,20220629,000000,0.682153,0.682297,0.651087,0.670188,1594688.4996377032,0
RAY.V,D,20220630,000000,0.671493,0.67718,0.616204,0.633239,5356539.324222553,0
RAY.V,D,20220701,000000,0.633239,0.6724,0.6305,0.6552,2085933.5388331008,0
RAY.V,D,20220702,000000,0.65428,0.677985,0.639632,0.677186,3764566.667992993,0
RAY.V,D,20220703,000000,0.677486,0.69067,0.647857,0.676719,3591797.0282031987,0
RAY.V,D,20220704,000000,0.67632,0.704753,0.664635,0.69876,770470.804084,0
RAY.V,D,20220705,000000,0.685177,0.707221,0.669263,0.702227,785303.6647109974,0
RAY.V,D,20220706,000000,0.702227,0.7194,0.6828,0.7153,1226803.3898379987,0
RAY.V,D,20220707,000000,0.7157,0.7573,0.7148,0.7483,1147420.123789001,0
RAY.V,D,20220708,000000,0.7492,0.765,0.717,0.7382,1220481.0052120013,0
RAY.V,D,20220709,000000,0.7377,0.828503,0.7341,0.806516,4172164.1657250063,0
RAY.V,D,20220710,000000,0.808515,0.811513,0.761543,0.771537,1025698.3297829997,0
RAY.V,D,20220711,000000,0.771537,0.771537,0.729489,0.740333,976596.679527999,0
RAY.V,D,20220712,000000,0.739334,0.739334,0.695234,0.696303,1257163.3519309142,0
RAY.V,D,20220713,000000,0.695332,0.722277,0.678253,0.718353,1526049.0755449254,0
RAY.V,D,20220714,000000,0.717354,0.89946,0.717354,0.857485,21011106.057179805,0
RAY.V,D,20220715,000000,0.858485,0.88056,0.820425,0.862741,4410412.774163671,0
RAY.V,D,20220716,000000,0.862741,0.9978,0.844746,0.973805,6704485.777065029,0
RAY.V,D,20220717,000000,0.974805,0.986822,0.89683,0.912763,3047560.3115777303,0
RAY.V,D,20220718,000000,0.913753,0.943953,0.874711,0.893785,2524314.433396222,0
RAY.V,D,20220719,000000,0.893785,0.964058,0.889929,0.943151,2372572.4595148596,0
RAY.V,D,20220720,000000,0.941,0.953095,0.853932,0.874044,2335196.2651538784,0
RAY.V,D,20220721,000000,0.873096,0.888169,0.827091,0.885212,1710383.9600513708,0
RAY.V,D,20220722,000000,0.884212,0.925185,0.841067,0.848119,1206921.441042104,0
RAY.V,D,20220723,000000,0.845,0.872983,0.818,0.834158,935927.0720388364,0
RAY.V,D,20220724,000000,0.834158,0.868017,0.834158,0.851162,668529.9649938111,0
RAY.V,D,20220725,000000,0.853862,0.859163,0.794087,0.809073,1142963.3027978544,0
RAY.V,D,20220726,000000,0.809073,0.809089,0.74263,0.755713,1050837.1446597222,0
RAY.V,D,20220727,000000,0.755306,0.843402,0.755106,0.843102,1164059.3000695026,0
RAY.V,D,20220728,000000,0.842202,0.889196,0.822,0.879176,1471593.1024645197,0
RAY.V,D,20220729,000000,0.879229,0.898117,0.839252,0.867355,1542247.7339536948,0
RAY.V,D,20220730,000000,0.864346,0.912328,0.853299,0.869295,1417243.6558101133,0
RAY.V,D,20220731,000000,0.869261,0.924185,0.852239,0.885204,2014348.2030891043,0
