<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENS.V,D,20220514,000000,10.48215,10.8704,8.49298,9.36687,825734.33112,0
ENS.V,D,20220515,000000,9.3469,9.9081,8.89753,9.87714,714706.81939577,0
ENS.V,D,20220516,000000,9.87714,10.77597,8.81852,10.756,1274683.4098557,0
ENS.V,D,20220517,000000,10.72604,12.54493,10.2966,12.53369,2264615.9692312,0
ENS.V,D,20220518,000000,12.51371,12.9045,10.75492,10.81592,2616281.5137339,0
ENS.V,D,20220519,000000,10.8448,12.46877,10.0669,12.19779,1515203.6838287,0
ENS.V,D,20220520,000000,12.19901,13.67494,11.82579,12.41384,2371024.0120015,0
ENS.V,D,20220521,000000,12.43506,13.64361,12.34517,12.58362,2447672.3398461,0
ENS.V,D,20220522,000000,12.58236,13.063,12.03434,12.36514,1159958.858847,0
ENS.V,D,20220523,000000,12.37513,14.05593,12.11666,13.03434,1995746.7451717,0
ENS.V,D,20220524,000000,13.00307,13.12423,11.39631,12.20411,1406963.415111,0
ENS.V,D,20220525,000000,12.22409,13.06561,11.90689,12.50623,1659824.0656714,0
ENS.V,D,20220526,000000,12.51496,12.73597,10.00798,10.76922,2044615.2604654,0
ENS.V,D,20220527,000000,10.76922,10.86912,9.50953,9.84015,1404020.1226384,0
ENS.V,D,20220528,000000,9.79882,10.33893,9.51904,10.18487,841521.04316696,0
ENS.V,D,20220529,000000,10.16842,10.3735,9.75433,10.08599,592679.09372363,0
ENS.V,D,20220530,000000,10.11266,12.8448,10.01018,12.63618,1668582.5110749,0
ENS.V,D,20220531,000000,12.66593,13.3643,11.37753,11.92006,1581942.7361482,0
ENS.V,D,20220601,000000,11.89452,12.22731,10.41213,10.59036,874138.80047223,0
ENS.V,D,20220602,000000,10.59155,11.27584,10.35314,11.14676,857852.00554982,0
ENS.V,D,20220603,000000,11.15345,11.44579,10.46123,10.92619,754458.27333602,0
ENS.V,D,20220604,000000,10.92489,11.15587,10.44852,10.9153,764005.11207471,0
ENS.V,D,20220605,000000,10.91031,11.31665,10.68742,11.15301,543161.28565233,0
ENS.V,D,20220606,000000,11.15251,12.92952,10.98507,11.9898,2487423.0011083,0
ENS.V,D,20220607,000000,11.97981,12.43005,11.02118,12.34986,2328727.8972006,0
ENS.V,D,20220608,000000,12.35011,12.5326,11.33172,11.66241,1618988.122903,0
ENS.V,D,20220609,000000,11.67241,12.0796,11.28108,11.58026,1292076.0806896,0
ENS.V,D,20220610,000000,11.56017,11.84016,10.37795,10.63647,2258208.4251357,0
ENS.V,D,20220611,000000,10.64646,10.78801,9.08872,9.52922,1810719.3846547,0
ENS.V,D,20220612,000000,9.53911,9.82662,8.2883,8.95427,2080502.8827903,0
ENS.V,D,20220613,000000,8.94628,8.94628,7.38949,7.97897,8849019.7849061,0
ENS.V,D,20220614,000000,7.98896,8.58701,7.36923,7.78065,9115154.7674476,0
ENS.V,D,20220615,000000,7.78065,9.17805,7.44657,9.08635,6036573.8508551,0
ENS.V,D,20220616,000000,9.09713,9.24574,7.91419,8.27849,2219688.4290309,0
ENS.V,D,20220617,000000,8.05978,8.47495,7.88011,8.2411,5720747.6594035,0
ENS.V,D,20220618,000000,8.24,8.44596,7.46573,8.39638,4609019.3394073,0
ENS.V,D,20220619,000000,8.37641,9.08908,8.04799,8.87933,3494379.6678674,0
ENS.V,D,20220620,000000,8.85847,9.30272,8.42903,8.83049,1012123.0800378,0
ENS.V,D,20220621,000000,8.77326,9.74592,8.72789,9.22484,1460737.2813654,0
ENS.V,D,20220622,000000,9.20986,9.45753,8.60123,8.76902,1063670.180106,0
ENS.V,D,20220623,000000,8.76473,9.1945,8.44615,9.07322,905075.16100396,0
ENS.V,D,20220624,000000,9.07262,10.32984,9.07262,10.1192,3018342.487206,0
ENS.V,D,20220625,000000,10.11408,10.33214,9.33356,9.89307,1654306.7509721,0
ENS.V,D,20220626,000000,9.88308,10.26302,9.40435,9.68409,1016657.509576,0
ENS.V,D,20220627,000000,9.69399,9.78523,9.1241,9.31569,495299.99071546,0
ENS.V,D,20220628,000000,9.3184,9.63692,8.93159,9.04406,516685.72901988,0
ENS.V,D,20220629,000000,9.03848,9.03978,8.61671,8.84447,674967.78977291,0
ENS.V,D,20220630,000000,8.84527,8.89741,8.01115,8.18407,1096517.872738,0
ENS.V,D,20220701,000000,8.19316,8.85455,8.1555,8.46,1064646.4049779,0
ENS.V,D,20220705,000000,9.27735,9.72209,9.01877,9.42328,401032.00239007,0
ENS.V,D,20220706,000000,9.42722,10.34451,9.06052,10.18898,1281714.7614988,0
ENS.V,D,20220707,000000,10.18938,10.64747,10.03345,10.36188,880252.69170386,0
ENS.V,D,20220708,000000,10.36798,10.6206,9.85848,10.11833,746038.59819433,0
ENS.V,D,20220709,000000,10.11463,10.3285,9.9982,10.05956,459453.08539975,0
ENS.V,D,20220710,000000,10.05955,10.10763,9.28939,9.44053,512978.05707303,0
ENS.V,D,20220711,000000,9.43643,9.43643,8.61994,8.71515,740862.64715359,0
ENS.V,D,20220712,000000,8.714,8.714,8.30695,8.45713,595024.54664153,0
ENS.V,D,20220713,000000,8.4502,8.81847,8.11736,8.64704,684738.6648608,0
ENS.V,D,20220714,000000,8.6543,9.328,8.44574,9.07465,668978.83435952,0
ENS.V,D,20220715,000000,9.07745,9.43574,9.05266,9.26189,699386.84773789,0
ENS.V,D,20220716,000000,9.26382,9.87314,9.02939,9.6778,616318.90031623,0
ENS.V,D,20220717,000000,9.68146,9.85415,9.29119,9.46964,679900.81839175,0
ENS.V,D,20220718,000000,9.49103,11.75367,9.31604,10.97478,3159007.4371677,0
