<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REN.V,D,20220514,000000,0.167398,0.167415,0.14749,0.15996,13222142.271235,0
REN.V,D,20220515,000000,0.159976,0.168997,0.152571,0.168997,16540665.007775,0
REN.V,D,20220516,000000,0.169097,0.172593,0.149221,0.152601,14446264.511951,0
REN.V,D,20220517,000000,0.152601,0.159924,0.144911,0.153615,22759222.935939,0
REN.V,D,20220518,000000,0.154099,0.161506,0.137321,0.138919,24032772.044931,0
REN.V,D,20220519,000000,0.139105,0.151348,0.132627,0.146054,21078126.757196,0
REN.V,D,20220520,000000,0.145669,0.152678,0.135024,0.138334,19565892.716766,0
REN.V,D,20220521,000000,0.138919,0.14969,0.136736,0.143813,18267908.463409,0
REN.V,D,20220522,000000,0.143813,0.159708,0.142315,0.152717,21742463.615099,0
REN.V,D,20220523,000000,0.152717,0.164036,0.147922,0.150619,43414108.448054,0
REN.V,D,20220524,000000,0.150504,0.150619,0.137535,0.150204,38348354.32359,0
REN.V,D,20220525,000000,0.150204,0.154299,0.144341,0.151218,21375309.316302,0
REN.V,D,20220526,000000,0.151118,0.152033,0.133653,0.140345,27113421.332268,0
REN.V,D,20220527,000000,0.140459,0.141558,0.127472,0.130869,27107041.538737,0
REN.V,D,20220528,000000,0.130651,0.137354,0.128425,0.135441,24750830.084545,0
REN.V,D,20220529,000000,0.135239,0.141851,0.13117,0.139247,21884529.240957,0
REN.V,D,20220530,000000,0.139845,0.158889,0.138054,0.158473,22945133.191778,0
REN.V,D,20220531,000000,0.159472,0.170381,0.151563,0.158073,37472676.573449,0
REN.V,D,20220601,000000,0.157877,0.162775,0.141758,0.143671,31321480.535305,0
REN.V,D,20220602,000000,0.143271,0.149066,0.139774,0.147967,30305388.013398,0
REN.V,D,20220603,000000,0.148067,0.151064,0.140582,0.145274,26501345.274073,0
REN.V,D,20220604,000000,0.145174,0.146662,0.139753,0.14509,40155226.181599,0
REN.V,D,20220605,000000,0.145391,0.146697,0.141779,0.145465,34562488.658712,0
REN.V,D,20220606,000000,0.145563,0.158467,0.143264,0.150472,95273033.986876,0
REN.V,D,20220607,000000,0.150673,0.16287,0.141181,0.159369,93901444.840387,0
REN.V,D,20220608,000000,0.158868,0.162398,0.149096,0.1541,102223654.16441,0
REN.V,D,20220609,000000,0.1541,0.157564,0.14889,0.152772,74340535.987151,0
REN.V,D,20220610,000000,0.15297,0.153174,0.132862,0.135827,69728690.270815,0
REN.V,D,20220611,000000,0.135827,0.136855,0.118753,0.121762,26202593.168393,0
REN.V,D,20220612,000000,0.121962,0.123528,0.108547,0.116455,25332468.064949,0
REN.V,D,20220613,000000,0.116157,0.116157,0.084972,0.090973,251780809.58711,0
REN.V,D,20220614,000000,0.091173,0.096676,0.080979,0.089892,389816983.97409,0
REN.V,D,20220615,000000,0.089693,0.106272,0.084248,0.105242,303757812.26943,0
REN.V,D,20220616,000000,0.105941,0.10787,0.093369,0.093369,64834520.322357,0
REN.V,D,20220617,000000,0.091872,0.099081,0.091473,0.0980822,164940318.81019,0
REN.V,D,20220618,000000,0.0981,0.1000808,0.0841752,0.0916513,234520432.54668,0
REN.V,D,20220619,000000,0.0914516,0.1085696,0.0911512,0.1047636,142524244.7834,0
REN.V,D,20220620,000000,0.10485,0.1258614,0.08625,0.1124761,57960608.662497,0
REN.V,D,20220621,000000,0.1124761,0.1258614,0.1099679,0.1148735,62274331.768826,0
REN.V,D,20220622,000000,0.1151732,0.121878,0.104895,0.1070928,48460576.518183,0
REN.V,D,20220623,000000,0.106893,0.1192806,0.1045953,0.1102896,44695987.738127,0
REN.V,D,20220624,000000,0.1103895,0.1276965,0.1103895,0.1239033,85948337.141897,0
REN.V,D,20220625,000000,0.1239033,0.1263735,0.1153227,0.1244128,48652938.803228,0
REN.V,D,20220626,000000,0.1248101,0.1513955,0.120825,0.1243241,106443860.87904,0
REN.V,D,20220627,000000,0.1243241,0.1243241,0.1148931,0.1184944,13432143.426089,0
REN.V,D,20220628,000000,0.1183886,0.1234875,0.1127007,0.1158573,18503622.030724,0
REN.V,D,20220629,000000,0.1157563,0.1158469,0.1096287,0.114761,36827392.980123,0
REN.V,D,20220630,000000,0.1144625,0.1152604,0.103271,0.107771,38189095.579173,0
REN.V,D,20220701,000000,0.10797,0.116172,0.106272,0.112676,45617748.952688,0
REN.V,D,20220702,000000,0.112077,0.118058,0.109768,0.11636,62457942.921502,0
REN.V,D,20220703,000000,0.11646,0.118945,0.112442,0.117148,34527483.495667,0
