<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNT.V,D,20220106,000000,3.20204,3.28534,3.16905,3.24368,141839.64170418328,0
BNT.V,D,20220107,000000,3.23668,3.24435,3.0004,3.10438,810581.6031149011,0
BNT.V,D,20220108,000000,3.10269,3.17868,2.94741,3.116,358264.7787388831,0
BNT.V,D,20220109,000000,3.113,3.218,3.049,3.185,229535.34989020455,0
BNT.V,D,20220110,000000,3.187,3.206,2.9707,3.106,347497.776496363,0
BNT.V,D,20220111,000000,3.103,3.22132,3.07269,3.19532,176522.7328516494,0
BNT.V,D,20220112,000000,3.19732,3.31032,3.15863,3.27331,289798.1223756219,0
BNT.V,D,20220113,000000,3.27431,3.30165,3.12325,3.14457,180862.74422526063,0
BNT.V,D,20220114,000000,3.14926,3.19428,3.06022,3.18896,181855.47364337396,0
BNT.V,D,20220115,000000,3.1895,3.251,3.1635,3.204,242435.1445714352,0
BNT.V,D,20220116,000000,3.204,3.2435,3.1545,3.1955,211296.32517771792,0
BNT.V,D,20220117,000000,3.196,3.196,3.0139,3.05522,166274.85269032046,0
BNT.V,D,20220118,000000,3.05492,3.10124,2.93517,3.02821,197862.3250659199,0
BNT.V,D,20220119,000000,3.02491,3.03021,2.87815,2.93488,156558.50817383797,0
BNT.V,D,20220120,000000,2.93588,3.06492,2.83928,2.85657,205207.99098353012,0
BNT.V,D,20220121,000000,2.85429,2.85429,2.41348,2.45549,536217.4533552376,0
BNT.V,D,20220122,000000,2.45474,2.50775,2.18944,2.29446,357735.5402341388,0
BNT.V,D,20220123,000000,2.29269,2.42573,2.27423,2.32046,195841.8323583945,0
BNT.V,D,20220124,000000,2.3287,2.41448,2.09042,2.30969,269833.9762829934,0
BNT.V,D,20220125,000000,2.31146,2.36918,2.23245,2.31693,305771.28949932306,0
BNT.V,D,20220126,000000,2.32039,2.52051,2.27113,2.29838,213280.50649855152,0
BNT.V,D,20220127,000000,2.29748,2.53627,2.22189,2.27914,1731709.7127381423,0
BNT.V,D,20220128,000000,2.28114,2.40572,2.25768,2.38972,165336.00483505914,0
BNT.V,D,20220129,000000,2.39248,2.46574,2.37571,2.44163,128672.93024261334,0
BNT.V,D,20220130,000000,2.43353,2.50095,2.40178,2.44218,146566.50734897782,0
BNT.V,D,20220131,000000,2.44698,2.51796,2.36124,2.49965,167566.26547820796,0
BNT.V,D,20220201,000000,2.50975,2.6083,2.4965,2.51926,447532.8643841105,0
BNT.V,D,20220202,000000,2.51526,2.55353,2.37119,2.40993,259488.4331280142,0
BNT.V,D,20220203,000000,2.41193,2.42521,2.33617,2.41397,144889.0034446037,0
BNT.V,D,20220204,000000,2.41521,2.62631,2.41521,2.61009,128901.78550135232,0
BNT.V,D,20220205,000000,2.61859,2.74592,2.61149,2.67287,255037.52513962128,0
BNT.V,D,20220206,000000,2.67761,2.70362,2.62831,2.66707,121056.59449147996,0
BNT.V,D,20220207,000000,2.67107,2.90261,2.66607,2.82726,290369.97643924924,0
BNT.V,D,20220208,000000,2.83098,2.88702,2.68642,2.77577,286554.6737797719,0
BNT.V,D,20220209,000000,2.7765,2.85929,2.7119,2.83283,253453.3801430676,0
BNT.V,D,20220210,000000,2.83055,2.92534,2.66713,2.72791,352619.5211423264,0
BNT.V,D,20220211,000000,2.72563,2.77422,2.55402,2.55577,243375.03123226936,0
BNT.V,D,20220212,000000,2.54978,2.61057,2.52226,2.55428,146114.87974642584,0
BNT.V,D,20220213,000000,2.55853,2.59456,2.5075,2.53952,86043.89736799414,0
BNT.V,D,20220214,000000,2.53827,2.57654,2.47148,2.55953,105486.66876883809,0
BNT.V,D,20220215,000000,2.55953,2.69962,2.54427,2.69061,88852.06079419945,0
BNT.V,D,20220216,000000,2.69261,2.73264,2.61331,2.67961,113668.50161612485,0
BNT.V,D,20220217,000000,2.68161,2.69161,2.43246,2.46873,122219.94984351964,0
BNT.V,D,20220218,000000,2.47173,2.50575,2.37642,2.37743,146171.32688820508,0
BNT.V,D,20220219,000000,2.38143,2.42145,2.3364,2.37119,57197.084501359,0
BNT.V,D,20220220,000000,2.37119,2.38443,2.23389,2.29615,242731.5061558818,0
BNT.V,D,20220221,000000,2.30092,2.38219,2.17909,2.20988,340210.3350801928,0
BNT.V,D,20220222,000000,2.21311,2.29438,2.12564,2.21133,401453.95968888415,0
BNT.V,D,20220223,000000,2.2101,2.30938,2.1703,2.20332,170020.22995927028,0
BNT.V,D,20220224,000000,2.2051,2.23789,1.94297,2.14486,307530.3031378343,0
BNT.V,D,20220225,000000,2.15386,2.30392,2.15386,2.30392,244508.6283990273,0
BNT.V,D,20220226,000000,2.30415,2.35818,2.25813,2.30515,86611.12165809739,0
BNT.V,D,20220227,000000,2.30115,2.32516,2.14786,2.18487,219799.27460347436,0
BNT.V,D,20220228,000000,2.18509,2.45298,2.14886,2.42097,879268.8625312158,0
BNT.V,D,20220301,000000,2.43222,2.512,2.38695,2.46274,221393.0445687378,0
BNT.V,D,20220302,000000,2.45774,2.52276,2.41372,2.44973,169713.02526358198,0
BNT.V,D,20220303,000000,2.44773,2.46749,2.35047,2.38648,151225.89087069436,0
BNT.V,D,20220304,000000,2.38148,2.39572,2.19244,2.20966,171700.35590756318,0
BNT.V,D,20220305,000000,2.20966,2.27268,2.18044,2.25668,114321.27504921512,0
BNT.V,D,20220306,000000,2.25768,2.26468,2.17944,2.21967,82826.0636221518,0
BNT.V,D,20220307,000000,2.20766,2.22367,2.08242,2.11742,202638.19948286682,0
BNT.V,D,20220308,000000,2.12664,2.20044,2.10642,2.14321,146749.7163836088,0
BNT.V,D,20220309,000000,2.14943,2.34047,2.14443,2.28523,177077.9547602993,0
BNT.V,D,20220310,000000,2.28246,2.30846,2.15265,2.19688,134133.60118911974,0
BNT.V,D,20220311,000000,2.16687,2.23467,2.13564,2.16622,109653.27025483319,0
BNT.V,D,20220312,000000,2.16243,2.18822,2.154,2.17422,55640.08195053085,0
BNT.V,D,20220313,000000,2.17143,2.19944,2.10242,2.10442,132246.5585970248,0
BNT.V,D,20220314,000000,2.09721,2.18222,2.08221,2.16822,177913.4688445428,0
BNT.V,D,20220315,000000,2.17122,2.22745,2.11242,2.19866,586688.8237187316,0
BNT.V,D,20220316,000000,2.19766,2.31669,2.18544,2.29169,208021.293370909,0
BNT.V,D,20220317,000000,2.29169,2.35571,2.27468,2.31793,191457.62384642725,0
BNT.V,D,20220318,000000,2.31616,2.41045,2.27891,2.38519,238261.79803267424,0
BNT.V,D,20220319,000000,2.38319,2.43522,2.37995,2.39019,133100.2610414876,0
BNT.V,D,20220320,000000,2.39996,2.41721,2.32293,2.35794,94578.80139931437,0
BNT.V,D,20220321,000000,2.36518,2.44922,2.31593,2.37219,133765.92523093714,0
BNT.V,D,20220322,000000,2.37095,2.50525,2.35894,2.45623,361810.43810098036,0
BNT.V,D,20220323,000000,2.45623,2.48624,2.4062,2.48224,465182.46261928574,0
BNT.V,D,20220324,000000,2.48124,2.6023,2.47899,2.59704,295296.8533480749,0
BNT.V,D,20220325,000000,2.59604,2.62731,2.53727,2.56102,264825.8284864682,0
BNT.V,D,20220326,000000,2.55628,2.58929,2.54727,2.58003,135837.4419014027,0
BNT.V,D,20220327,000000,2.58003,2.70208,2.57903,2.69908,184785.6214053467,0
BNT.V,D,20220328,000000,2.70408,2.80612,2.69481,2.7601,301098.5785524752,0
BNT.V,D,20220329,000000,2.7571,2.84114,2.69881,2.71636,709164.0956142924,0
BNT.V,D,20220330,000000,2.71436,2.80584,2.68607,2.76883,253481.74249617246,0
BNT.V,D,20220331,000000,2.76983,2.83428,2.6728,2.69954,645081.4301138736,0
BNT.V,D,20220401,000000,2.69981,2.77539,2.58952,2.75583,1266249.8319344833,0
BNT.V,D,20220402,000000,2.75683,2.79812,2.72409,2.74982,437671.1621921932,0
BNT.V,D,20220403,000000,2.7481,2.86715,2.70508,2.78684,654765.9080363776,0
BNT.V,D,20220404,000000,2.79112,2.85414,2.6685,2.75583,463909.65148734633,0
BNT.V,D,20220405,000000,2.75383,2.79384,2.68827,2.70954,169302.00706523418,0
BNT.V,D,20220406,000000,2.70654,2.71754,2.51,2.55126,199575.2325085201,0
BNT.V,D,20220407,000000,2.551,2.59326,2.49025,2.55726,162371.77655679296,0
BNT.V,D,20220408,000000,2.55626,2.62105,2.52925,2.53301,257063.1962531431,0
BNT.V,D,20220409,000000,2.53076,2.56877,2.49375,2.53751,192677.7198035475,0
BNT.V,D,20220410,000000,2.53876,2.58878,2.51375,2.56051,240311.16832547178,0
BNT.V,D,20220411,000000,2.55951,2.55951,2.23145,2.23567,266251.8422288177,0
BNT.V,D,20220412,000000,2.23267,2.32647,2.22545,2.25368,126353.2675962397,0
BNT.V,D,20220413,000000,2.25067,2.3257,2.22567,2.3247,215823.7951584806,0
BNT.V,D,20220414,000000,2.3217,2.3457,2.22867,2.26523,174124.65568417776,0
BNT.V,D,20220415,000000,2.26845,2.32723,2.25045,2.29746,590233.6814459583,0
BNT.V,D,20220416,000000,2.29446,2.33547,2.24145,2.27145,1309918.8550745456,0
BNT.V,D,20220417,000000,2.28023,2.31646,2.25745,2.28046,89555.94219011722,0
BNT.V,D,20220418,000000,2.2709,2.31469,2.15343,2.31069,373482.537642859,0
BNT.V,D,20220419,000000,2.31269,2.43273,2.24545,2.28946,1341250.706159918,0
BNT.V,D,20220420,000000,2.28946,2.34323,2.25623,2.29346,282611.7259295493,0
BNT.V,D,20220421,000000,2.29346,2.35324,2.22522,2.24122,151950.63225045145,0
BNT.V,D,20220422,000000,2.24122,2.27145,2.19522,2.21522,170485.16460110695,0
BNT.V,D,20220423,000000,2.21144,2.23045,2.18722,2.21044,173410.88537233556,0
BNT.V,D,20220424,000000,2.21022,2.22522,2.17844,2.19844,160374.38936886305,0
BNT.V,D,20220425,000000,2.20544,2.37648,2.07341,2.22144,2719577.481417861,0
BNT.V,D,20220426,000000,2.21744,2.26345,2.093,2.108,549481.101774533,0
BNT.V,D,20220427,000000,2.109,2.166,2.05721,2.13821,689616.5961495662,0
BNT.V,D,20220428,000000,2.13721,2.323,2.102,2.16422,1067384.2845060974,0
BNT.V,D,20220429,000000,2.16422,2.20922,2.041,2.05121,646166.6116605491,0
BNT.V,D,20220430,000000,2.051,2.07821,2.019,2.0232,402859.2495270757,0
BNT.V,D,20220501,000000,2.024,2.0382,1.951,1.9982,629159.481784463,0
BNT.V,D,20220502,000000,1.9992,2.05321,1.959,2.004,1389057.464625332,0
BNT.V,D,20220503,000000,2.0062,2.035,1.94981,1.9838,401908.09800684295,0
BNT.V,D,20220504,000000,1.9818,2.119,1.9658,2.11,468202.5401520311,0
BNT.V,D,20220505,000000,2.11037,2.12258,1.90481,1.94281,308643.0687801825,0
BNT.V,D,20220506,000000,1.94281,1.94961,1.87363,1.91381,195808.8093483659,0
BNT.V,D,20220507,000000,1.91862,1.93281,1.86563,1.86581,93275.41376477094,0
BNT.V,D,20220508,000000,1.85881,1.87581,1.78147,1.83045,196662.15732690046,0
BNT.V,D,20220509,000000,1.83245,1.83245,1.58237,1.61568,334803.2031247325,0
BNT.V,D,20220510,000000,1.61552,1.71831,1.53654,1.56753,315853.77540820366,0
BNT.V,D,20220511,000000,1.56953,1.70415,1.36227,1.41315,488497.9811440243,0
BNT.V,D,20220512,000000,1.4168,1.48514,1.18737,1.33073,601356.1467612039,0
BNT.V,D,20220513,000000,1.32029,1.54006,1.30547,1.43056,606026.4189125153,0
BNT.V,D,20220514,000000,1.43042,1.43441,1.33519,1.40389,280235.6187387267,0
BNT.V,D,20220515,000000,1.40403,1.4962,1.38606,1.4942,193748.73362488963,0
BNT.V,D,20220516,000000,1.49805,1.51318,1.38819,1.42714,230445.75170056766,0
BNT.V,D,20220517,000000,1.43214,1.60607,1.41016,1.45825,379332.70783944434,0
BNT.V,D,20220518,000000,1.45925,1.47822,1.34611,1.35024,333064.8206847516,0
BNT.V,D,20220519,000000,1.3541,1.3986,1.31468,1.37263,593573.161793658,0
BNT.V,D,20220520,000000,1.37276,1.41145,1.32328,1.35224,279333.9984427938,0
BNT.V,D,20220521,000000,1.35024,1.39019,1.3284,1.35424,168991.37937538928,0
BNT.V,D,20220522,000000,1.35224,1.41202,1.34811,1.3852,152608.15019671075,0
BNT.V,D,20220523,000000,1.38733,1.44356,1.37035,1.37735,207979.1930566764,0
BNT.V,D,20220524,000000,1.37435,1.37934,1.32454,1.37421,356056.0571137601,0
